./.DS_Store	Apple Desktop Services Store
./DAQDRV	National Instruments, LabVIEW File, Code Resource File, data
./Final Cal.zip	Zip archive data, at least v2.0 to extract, compression method=deflate
./Final Cal/103FIN.EXE	MS-DOS executable, NE for MS Windows 3.x (EXE)
./Final Cal/DAQDRV	National Instruments, LabVIEW File, Code Resource File, data
./Final Cal/GPIBDRV	National Instruments, LabVIEW File, Code Resource File, data
./Final Cal/LVDEVICE.DLL	MS-DOS executable, NE for MS Windows 3.x (DLL or font)
./Final Cal/P071_03.CAL	ASCII text, with CRLF line terminators
./Final Cal/P072_1.cal	ASCII text, with CRLF line terminators
./Final Cal/SERPDRV	National Instruments, LabVIEW File, Code Resource File, data
./Final Cal/VERSION.DAT	ASCII text, with CRLF line terminators
./Final Cal/nidaq.dll	PE32 executable (DLL) (GUI) Intel 80386, for MS Windows
./GPIBDRV	National Instruments, LabVIEW File, Code Resource File, data
./LC103 Final Cal/LC103 Cal Data.ini	Generic INItialization configuration [C Range0]
./LC103 Final Cal/LC103 Final Cal.aliases	ASCII text, with CRLF line terminators
./LC103 Final Cal/LC103 Final Cal.ini	ASCII text, with CRLF line terminators
./LC103 Final Cal/LC103 configData.nce	data
./LC103 fixes.xlsx	Microsoft Excel 2007+
./LC103 simplified operating instructions (pull chart).pdf	PDF document, version 1.3
./Old Cal Files/P071_03.CAL	ASCII text, with CRLF line terminators
./Old Cal Files/P072_10.CAL	ASCII text, with CRLF line terminators
./P071_03.CAL	ASCII text, with CRLF line terminators
./P072_1.cal	ASCII text, with CRLF line terminators
./SERPDRV	National Instruments, LabVIEW File, Code Resource File, data
./Source/.DS_Store	Apple Desktop Services Store
./Source/LV3_1/103f_cal.llb	National Instruments, LabVIEW File, VI Library, data
./Source/LV3_1/MAINB_II.LLB	National Instruments, LabVIEW File, VI Library, data
./Source/LV3_1/PWRTEST.LLB	National Instruments, LabVIEW File, VI Library, data
./Source/LV5_1/103f_cal.llb	National Instruments, LabVIEW File, VI Library, data
./Source/LV5_1/Fluke 8840A.vi	National Instruments, LabVIEW File, Virtual Instrument Program, data
./Source/LV5_1/Mainb_ii.llb	National Instruments, LabVIEW File, VI Library, data
./Source/LV5_1/Pwrtest.llb	National Instruments, LabVIEW File, VI Library, data
./Source/LV6/103f_cal.llb	National Instruments, LabVIEW File, VI Library, data
./Source/LV6/Fluke 8840A.vi	National Instruments, LabVIEW File, Virtual Instrument Program, data
./Source/LV6/Mainb_ii.llb	National Instruments, LabVIEW File, VI Library, data
./Source/LV6/Pwrtest.llb	National Instruments, LabVIEW File, VI Library, data
./Source/lv8/103f_cal.llb	National Instruments, LabVIEW File, VI Library, data
./Source/lv8/warnings.txt	ASCII text, with CRLF line terminators
./VERSION.DAT	ASCII text, with CRLF line terminators
./configData.nce	data
./nidaq32.zip	Zip archive data, at least v2.0 to extract, compression method=deflate
./nidaq32/README.txt	Unicode text, UTF-8 (with BOM) text, with very long lines (640), with CRLF line terminators
./nidaq32/nidaq32.dll	PE32 executable (DLL) (GUI) Intel 80386, for MS Windows
